Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
0.49,0.648079054988845,0.648018235129832,0.648048433277146,0.648044674953386,0.648076696422477,6.08198590127396e-05,3.0621711699097e-05,3.43800354581925e-05,2.35856636798815e-06
0.5,0.662180317675032,0.662118886552129,0.662149388195867,0.662146590741182,0.662177653488719,6.14311229034659e-05,3.09294791648318e-05,3.37269338496204e-05,2.66418631322818e-06
0.51,0.676322798736472,0.676260750206231,0.676291558396585,0.676289676765785,0.676319869953708,6.20485302406104e-05,3.12403398871064e-05,3.31219706863894e-05,2.92878276353381e-06
0.52,0.690506912424722,0.690444240281953,0.690475358099766,0.690474346744365,0.69050377367372,6.26721427682275e-05,3.15543249551631e-05,3.25656803564778e-05,3.1387510012193e-06
0.53,0.704733077154638,0.704669775131787,0.704701205688867,0.704701018551511,0.704729792505032,6.33020228509862e-05,3.18714657706609e-05,3.20586031268277e-05,3.28464960563934e-06
0.54,0.719001715546215,0.718937777312734,0.718969523752164,0.718970114261007,0.718998354303919,6.39382334803873e-05,3.21917940508953e-05,3.16012852075165e-05,3.36124229538548e-06
0.55,0.733313254466849,0.733248673628568,0.733280739125017,0.733282060188032,0.733309886926658,6.45808382806479e-05,3.25153418316848e-05,3.11942788167041e-05,3.36754019070185e-06
0.56,0.747668125074025,0.747602895172509,0.747635282932554,0.747637286931778,0.747664818229525,6.52299015162505e-05,3.28421414713675e-05,3.08381422469139e-05,3.30684450056129e-06
0.57,0.762066762858434,0.762000877370337,0.762033590632781,0.762036229418504,0.762063576068795,6.58854880966064e-05,3.3172225652911e-05,3.05334399297585e-05,3.18678963839858e-06
0.58,0.776509607687518,0.776443060023934,0.77647610206013,0.776479326945014,0.776506588300746,6.65476635839379e-05,3.35056273880197e-05,3.02807425043294e-05,3.01938677205182e-06
0.59,0.790997103849464,0.790929887355264,0.790963261469444,0.790967023222579,0.790994282781653,6.72164941997178e-05,3.38423800203547e-05,3.00806268848097e-05,2.82106781079872e-06
0.6,0.805529700097627,0.805461808050797,0.805495517580399,0.805499766421299,0.805527087367793,6.78920468304423e-05,3.41825172284205e-05,2.99336763283087e-05,2.61272983403948e-06
0.61,0.820107849695409,0.820039275306374,0.82007332362238,0.820078009214905,0.820105429915442,6.85743890351809e-05,3.45260730294505e-05,2.98404805045838e-05,2.41977996773279e-06
0.62,0.834732010461586,0.834662746872534,0.834697137379803,0.83470220882602,0.834729738280875,6.92635890519044e-05,3.4873081782516e-05,2.98016355659847e-05,2.27218071080504e-06
0.63,0.849402644816086,0.849332685100282,0.849367421237894,0.849372827071868,0.849400440320369,6.99597158041465e-05,3.52235781917454e-05,2.98177442178416e-05,2.2044957168621e-06
0.64,0.864120219826238,0.864049556987329,0.864084642228928,0.864090330410447,0.864117955223366,7.06628389084418e-05,3.55775973103212e-05,2.98894157904073e-05,2.26460287222618e-06
0.65,0.878885207253474,0.878813834224793,0.87884927207893,0.878855189987163,0.878882731790762,7.13730286809877e-05,3.59351745438108e-05,3.00172663111331e-05,2.4754627123702e-06
0.66,0.893698083600508,0.893625993244363,0.893661787254855,0.893667881681931,0.893695289669509,7.20903561445274e-05,3.6296345653386e-05,3.02019185773883e-05,2.79393099922309e-06
0.67,0.908559330158985,0.908486515265949,0.908522669012225,0.908528886156755,0.908556151443263,7.28148930356776e-05,3.66611467597089e-05,3.04440022304009e-05,3.17871572241835e-06
0.68,0.923469433057612,0.9233958863458,0.923432403443265,0.923438688903782,0.923465839695679,7.35467118122557e-05,3.70296143467064e-05,3.07441538301978e-05,3.59336193322957e-06
0.69,0.938428883310771,0.938354597425111,0.938391481525506,0.93839778029384,0.938424877010413,7.42858856600526e-05,3.74017852647901e-05,3.11030169308779e-05,4.00630035757299e-06
0.7,0.953438176867619,0.953363144379119,0.953400399170885,0.953406655625462,0.953433785971121,7.50324885003817e-05,3.7777696734631e-05,3.15212421568845e-05,4.39089649795221e-06
0.71,0.968497814661688,0.96842202806669,0.968459657275337,0.968465815174408,0.968493089161459,7.57865949975178e-05,3.81573863510454e-05,3.19994872800544e-05,4.72550022867502e-06
0.72,0.983608302660972,0.983531754380405,0.983569761768885,0.983575764243674,0.983603309165082,7.65482805664686e-05,3.85408920871022e-05,3.25384172978893e-05,4.9934958898934e-06
0.73,0.998770151918531,0.998692834297151,0.998731223666233,0.998737013214019,0.998764968565646,7.73176213797466e-05,3.89282522971213e-05,3.31387045120479e-05,5.18335288446359e-06
0.74,1.01398387862359,1.01390578392922,1.01394455911787,1.01395007759498,1.01397858994681,7.80946943756966e-05,3.93195057208917e-05,3.38010286078383e-05,5.28867678406542e-06
0.75,1.02925000415317,1.0291711245759,1.02921028946168,1.02921547807643,1.02924469589222,7.88795772659334e-05,3.9714691487891e-05,3.4526076735375e-05,5.30826094857773e-06
0.76,1.0445690551242,1.04448938277566,1.04452894127508,1.04453374058061,1.04456380898554,7.96723485427808e-05,4.01138491201714e-05,3.53145435898483e-05,5.2461386630398e-06
0.77,1.05994156344623,1.05986109035874,1.05990104642769,1.05990539631473,1.05993645181043,8.04730874879311e-05,4.05170185378001e-05,3.6167131495457e-05,5.11163580196872e-06
0.78,1.07536806637455,1.07528678450037,1.07532714213449,1.07533098182406,1.07536314695053,8.12818741795507e-05,4.0924240061857e-05,3.70845504868988e-05,4.91942401881218e-06
0.79,1.09084910656398,1.09076700777448,1.09080777100957,1.09081103904559,1.09084441698951,8.20987895004954e-05,4.13355544182092e-05,3.80675183941914e-05,4.68957447274931e-06
0.8,1.10638523212312,1.10630230820797,1.10634348112037,1.10634611536219,1.10638078451102,8.29239151469707e-05,4.17510027426182e-05,3.91167609279375e-05,4.44761209461575e-06
0.81,1.12197699666912,1.12189323933548,1.12193482604253,1.12193676365735,1.12197277209872,8.37573336358588e-05,4.21706265838484e-05,4.02330117643679e-05,4.22457039772617e-06
0.82,1.1376249593831,1.13754036025479,1.13758236491519,1.13758354237047,1.13762090233626,8.45991283136005e-05,4.25944679087742e-05,4.14170126330493e-05,4.05704684114383e-06
