Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
1.1,4.3,4.29999999999999,4.29999999999999,4.29999999999999,4.3,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,8.88178419700125e-16
1.11,4.33,4.32999999999999,4.32999999999999,4.32999999999999,4.33,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,0
1.12,4.36,4.35999999999999,4.35999999999999,4.35999999999999,4.36,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,8.88178419700125e-16
1.13,4.39,4.38999999999999,4.38999999999999,4.38999999999999,4.39,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,8.88178419700125e-16
1.14,4.42,4.41999999999999,4.41999999999999,4.41999999999999,4.42,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,0
1.15,4.45,4.44999999999999,4.44999999999999,4.44999999999999,4.45,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,0
1.16,4.48,4.47999999999999,4.47999999999999,4.47999999999999,4.48,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,0
1.17,4.51,4.50999999999999,4.50999999999999,4.50999999999999,4.51,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,0
1.18,4.54,4.53999999999999,4.53999999999999,4.53999999999999,4.54,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,8.88178419700125e-16
1.19,4.57,4.56999999999999,4.56999999999999,4.56999999999999,4.57,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,8.88178419700125e-16
1.2,4.6,4.59999999999999,4.59999999999999,4.59999999999999,4.6,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,0
1.21,4.63,4.62999999999999,4.62999999999999,4.62999999999999,4.63,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,8.88178419700125e-16
1.22,4.66,4.65999999999999,4.65999999999999,4.65999999999999,4.66,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,8.88178419700125e-16
1.23,4.69,4.68999999999999,4.68999999999999,4.68999999999999,4.69,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,0
1.24,4.72,4.71999999999999,4.71999999999999,4.71999999999999,4.72,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,0
1.25,4.75,4.74999999999999,4.74999999999999,4.74999999999999,4.75,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,0
1.26,4.78,4.77999999999999,4.77999999999999,4.77999999999999,4.78,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,8.88178419700125e-16
1.27,4.81,4.80999999999999,4.80999999999999,4.80999999999999,4.81,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,8.88178419700125e-16
